,0,1,2,3,4,5
0,19-Feb-2009,19-Feb-2009, Canada,Ottawa,Met with Governor General Michaëlle Jean and Prime Minister Stephen Harper.[6],President Barack Obama
1,31-Mar-2009,3-Apr-2009, United Kingdom,London,Attended the G20 Economic Summit. Met with Queen Elizabeth II and Prime Minister Gordon Brown.,President Barack Obama
2,3-Apr-2009,4-Apr-2009, France Germany,"Strasbourg, Baden-Baden and Kehl",Attended the 21st NATO Summit.,President Barack Obama
3,4-Apr-2009,5-Apr-2009, Czech Republic,Prague,Attended a European Union-United States summit. Delivered public speech on nuclear disarmament.[7] Met with Czech President Václav Klaus.,President Barack Obama
4,5-Apr-2009,7-Apr-2009, Turkey,Ankara and Istanbul,Met with President Abdullah Gül and Prime Minister Recep Tayyip Erdoğan. Delivered a speech to the Turkish Parliament.,President Barack Obama
5,7-Apr-2009,8-Apr-2009, Iraq,Baghdad,Met with President Jalal Talabani and Prime Minister Nouri al-Maliki. Visited with U.S. troops.[8],President Barack Obama
6,16-Apr-2009,17-Apr-2009, Mexico,Mexico City,Met with President Felipe Calderón.,President Barack Obama
7,17-Apr-2009,18-Apr-2009, Trinidad and Tobago,Port of Spain,Attended the 5th Summit of the Americas.,President Barack Obama
8,3-Jun-2009,4-Jun-2009, Saudi Arabia,Riyadh,Met with King Abdullah.,President Barack Obama
9,4-Jun-2009,4-Jun-2009, Egypt,Cairo and Giza,Met with President Hosni Mubarak. Toured the Giza Pyramids. Delivered a speech directed towards the wider Muslim world at Cairo University.,President Barack Obama
10,4-Jun-2009,5-Jun-2009, Germany,"Dresden, Buchenwald, and Landstuhl",Met with Chancellor Angela Merkel. Visited Buchenwald concentration camp and an U.S. military hospital.,President Barack Obama
11,5-Jun-2009,7-Jun-2009, France,Paris and Caen,Met with President Nicolas Sarkozy. Attended 65th anniversary of D-Day celebrations.,President Barack Obama
12,6-Jul-2009,8-Jul-2009, Russia,Moscow,Met with President Dmitry Medvedev and Prime Minister Vladimir Putin. Delivered a commencement speech to the New Economic School.,President Barack Obama
13,8-Jul-2009,10-Jul-2009, Italy,L'Aquila and Rome,Attended the 35th G8 summit. Met with President Giorgio Napolitano.[9] and Prime Minister Silvio Berlusconi,President Barack Obama
14,10-Jul-2009,10-Jul-2009,  Vatican City,Vatican City,Met with Pope Benedict XVI.,President Barack Obama
15,10-Jul-2009,11-Jul-2009, Ghana,Accra,"Met with President John Atta Mills. Delivered a speech to the Ghanaian Parliament. Toured a former departing point of the trans-Atlantic slave trade, the Cape Coast Castle.",President Barack Obama
16,9-Aug-2009,10-Aug-2009, Mexico,Guadalajara,Attended annual North American Leaders' Summit with Mexican President Felipe Calderón and Canadian Prime Minister Stephen Harper.,President Barack Obama
17,02-Oct-2009,02-Oct-2009, Denmark,Copenhagen,Met with Queen Margrethe II and Prime Minister Lars Løkke Rasmussen. Attended the 13th Olympic Congress meeting to lobby for Chicago's bid to host the 2016 Olympics.,President Barack Obama
18,13-Nov-2009,14-Nov-2009, Japan,Tokyo,Met with Emperor Akihito and Prime Minister Yukio Hatoyama.,President Barack Obama
19,14-Nov-2009,15-Nov-2009, Singapore,Singapore,Attended the APEC 2009 meeting. Met with Prime Minister Lee Hsien Loong. Met with leaders of ASEAN.,President Barack Obama
20,15-Nov-2009,18-Nov-2009, China,Shanghai and Beijing,"Met with Shanghai Party Secretary Yu Zhengsheng. Held a town hall meeting with Shanghai students. Met with President Hu Jintao, NPC Chairman Wu Bangguo and Premier Wen Jiabao. Visited the Forbidden City and the Great Wall of China.",President Barack Obama
21,18-Nov-2009,19-Nov-2009, South Korea,Seoul and Pyeongtaek,Met with President Lee Myung-bak. Visited with U.S. troops at Osan Air Base in Pyeongtaek.,President Barack Obama
22,9-Dec-2009,11-Dec-2009, Norway,Oslo,Accepted the Nobel Peace Prize.,President Barack Obama
23,17-Dec-2009,19-Dec-2009, Denmark,Copenhagen,Attended the United Nations Climate Change Conference 2009.,President Barack Obama
24,27-Mar-2010,28-Mar-2010, Afghanistan,Bagram and Kabul,Met with President Hamid Karzai and visited with U.S. troops at Bagram Air Base.,President Barack Obama
25,8-Apr-2010,8-Apr-2010, Czech Republic,Prague,Signed the New START treaty with Russian President Dmitry Medvedev.,President Barack Obama
26,25-Jun-2010,27-Jun-2010, Canada,Toronto and Huntsville,Attended the 36th G8 summit and the G-20 Toronto summit.,President Barack Obama
27,6-Nov-2010,9-Nov-2010, India,Mumbai and New Delhi,Participated in the US-India Business Council and Entrepreneurship Summit in Mumbai. Held a town hall meeting with Mumbai students. Met with President Pratibha Patil and Prime Minister Manmohan Singh. Delivered a speech to the Indian Parliament. Visited Humayun's Tomb and Raj Ghat.,President Barack Obama
28,9-Nov-2010,10-Nov-2010, Indonesia,Jakarta,"Met with President Susilo Bambang Yudhoyono. Delivered a speech at the University of Indonesia. Visited Istiqlal Mosque, Jakarta.",President Barack Obama
29,10-Nov-2010,12-Nov-2010, South Korea,Seoul,Attended the G-20 Seoul summit. Met with President Lee Myung-bak. Visited with U.S. troops at Yongsan Garrison.,President Barack Obama
30,12-Nov-2010,14-Nov-2010, Japan,"Tokyo, Yokohama, Kamakura",Attended the APEC 2010 meeting. Met with Prime Minister Naoto Kan. Visited the Kamakura Great Buddha statue.,President Barack Obama
31,19-Nov-2010,20-Nov-2010, Portugal,Lisbon,Attended the 22nd NATO summit and the U.S.-EU summit. Met with President Aníbal Cavaco Silva and Prime Minister José Sócrates.,President Barack Obama
32,3-Dec-2010,3-Dec-2010, Afghanistan,Bagram,Visited with U.S. troops at Bagram Air Base. Originally planned meeting with President Hamid Karzai in Kabul was canceled due to bad weather.[10],President Barack Obama
33,19-Mar-2011,21-Mar-2011, Brazil,Brasília and Rio de Janeiro,Met with President Dilma Rousseff. Visited the Cidade de Deus favela and the Christ the Redeemer statue.,President Barack Obama
34,21 Mar-2011,22 Mar-2011, Chile,Santiago,Met with President Sebastián Piñera.,President Barack Obama
35,22 Mar-2011,23 Mar-2011, El Salvador,San Salvador,Met with President Mauricio Funes. Visited the San Salvador Cathedral.,President Barack Obama
36,23-May-2011,23-May-2011, Ireland,"Dublin, Moneygall","Met with President Mary McAleese and Taoiseach Enda Kenny. Visited ancestral home in Moneygall, and addressed a large crowd in Dublin. Accompanied by the First Lady.[11][12]",President Barack Obama
37,23-May-2011,26-May-2011, United Kingdom,London,State visit; Met with Queen Elizabeth II and Prime Minister David Cameron. Addressed Parliament. Accompanied by the First Lady.[11] She returned to the US from the UK when the President traveled on to France.[13],President Barack Obama
38,26-May-2011,27-May-2011, France,Deauville,Attended the 37th G8 summit.[11],President Barack Obama
39,27-May-2011,28-May-2011, Poland,Warsaw,Had meetings with President Bronisław Komorowski and Prime Minister Donald Tusk. Laid wreath at the Warsaw Ghetto Memorial and visited the memorial to the victims of the Smolensk plane crash.[11],President Barack Obama
40,3-Nov-2011,4-Nov-2011, France,Cannes,Attended the G-20 Cannes summit.,President Barack Obama
41,16-Nov-2011,17-Nov-2011, Australia,"Canberra, Darwin",Met Prime Minister Julia Gillard and addressed Parliament.,President Barack Obama
42,17-Nov-2011,19-Nov-2011, Indonesia,Nusa Dua,Attended an ASEAN Summit and the Sixth East Asia Summit.[14],President Barack Obama
43,25-Mar-2012[15],27-Mar-2012, South Korea,"Osan Air Base, Korean Demilitarized Zone, Seoul",Attended the 2012 Nuclear Security Summit. Met with Hu Jintao and Nursultan Nazarbayev and addressed US military personnel.[16],President Barack Obama
44,13-Apr-2012,15-Apr-2012[17], Colombia,Cartagena,Attended the 6th Summit of the Americas.,President Barack Obama
45,01-May-2012,02-May-2012[18], Afghanistan,"Bagram Air Base, Kabul","Signing of strategic partnership agreement between Afghanistan and United States, spending time with U.S. troops at Bagram airfield and addressing the nation from there regarding the responsible end of the Afghanistan war.[19][20]",President Barack Obama
46,17-June-2012,19-June-2012, Mexico,San José del Cabo and Los Cabos Corridor,Attended the G-20 Los Cabos summit.[21],President Barack Obama
47,18-Nov-2012,19-Nov-2012, Thailand,Bangkok,"The President visited the Wat Pho monastery, took part in a formal welcome ceremony at Thai Koo Fah,[22] and met with King of Thailand Bhumibol Adulyadej and Prime Minister Yingluck Shinawatra to discuss Thai–U.S. cooperation and mark 180 years of official relations.[23][24][25][26][27][28][29][30][31][32]",President Barack Obama
48,19-Nov-2012,19-Nov-2012, Myanmar (Burma),Yangon,"President Obama became the first U.S. President to visit the country, where he toured Shwedagon Pagoda, delivered a speech on democracy at the University of Yangon[25] and met with President Thein Sein and MP Aung San Suu Kyi to discuss Myanmar–U.S. relations in light of the country's democratic reforms.[23][24][25][33][34][35][36][37][38][39]",President Barack Obama
49,19-Nov-2012,20-Nov-2012, Cambodia,Phnom Penh,"The President attended the 21st ASEAN Summit and the 7th East Asia Summit, where he met with Chinese Premier Wen Jiabao and Japanese Prime Minister Yoshihiko Noda, among others. Obama also hold a bilateral meeting with Cambodia's Prime Minister Hun Sen and Obama became the first person holding the office to visit Cambodia.[23][24][25][40][41][42][43][44]",President Barack Obama
50,20-Mar-2013,22-Mar-2013, Israel,"Tel Aviv, Jerusalem","Met with President Shimon Peres and Prime Minister Benjamin Netanyahu, visited the Shrine of the Book and Yad Vashem, and spoke to students at the International Convention Center.",President Barack Obama
51,21-Mar-2013,22-Mar-2013, West Bank,"Ramallah, Bethlehem",Met with President Mahmoud Abbas and visited the Church of the Nativity.,President Barack Obama
52,22-Mar-2013,23-Mar-2013, Jordan,"Amman, Petra",Met with King Abdullah II and visited Petra.,President Barack Obama
53,2-May-2013,3-May-2013, Mexico,Mexico City,Met with Mexican President Enrique Peña Nieto.,President Barack Obama
54,3-May-2013,4-May-2013, Costa Rica,San José,Met with President Laura Chinchilla and other Central American leaders.,President Barack Obama
55,17-Jun-2013,18-Jun-2013, United Kingdom,Lough Erne,Attended the 39th G8 summit.,President Barack Obama
56,18-Jun-2013,19-Jun-2013, Germany,Berlin,Met with President Joachim Gauck and Chancellor Angela Merkel. Delivered a speech in front of the Brandenburg Gate.,President Barack Obama
57,26-Jun-2013,28-Jun-2013, Senegal,Dakar,Met with President Macky Sall. Visited Gorée Island.,President Barack Obama
58,28-Jun-2013,1-Jul-2013, South Africa,"Johannesburg, Pretoria, Soweto, Cape Town",Met with President Jacob Zuma and Chairwoman of the African Union Nkosazana Dlamini-Zuma. Visited Robben Island.,President Barack Obama
59,1-Jul-2013,2-Jul-2013, Tanzania,Dar es Salaam,Met with President Jakaya Kikwete.,President Barack Obama
60,4-Sep-2013,5-Sep-2013, Sweden,Stockholm,Met with King Carl XVI Gustaf and Prime Minister Fredrik Reinfeldt. Met with leaders of the Nordic countries. Attended an event honoring Raoul Wallenberg at the Great Synagogue.,President Barack Obama
61,5-Sep-2013,6-Sep-2013, Russia,St. Petersburg,Attended the G-20 St. Petersburg summit.,President Barack Obama
62,07-Dec-2013,10-Dec-2013, South Africa,Johannesburg,Attended the funeral of former President Nelson Mandela.,President Barack Obama
63,19-Feb-2014,19-Feb-2014, Mexico,Toluca,Attended annual North American Leaders' Summit with Mexican President Enrique Peña Nieto and Canadian Prime Minister Stephen Harper.[45],President Barack Obama
64,24-Mar-2014,25-Mar-2014, Netherlands,"Amsterdam, Hague",Attended 2014 Nuclear Security Summit; Met with Prime Minister Mark Rutte; President Xi Jinping of China; King Willem-Alexander of the Netherlands at the Royal Palace of Amsterdam; Crown Prince of Abu Dhabi Mohammed bin Zayed Al Nahyan of the United Arab Emirates; President Park Geun-hye of South Korea; and Prime Minister Shinzō Abe of Japan.,President Barack Obama
65,26-Mar-2014,26-Mar-2014, Belgium,Brussels,"Wreath laying and tour of Flanders Field Cemetery with King Philippe and Prime Minister Elio Di Rupo of Belgium; EU-U.S. working lunch; President Herman Von Rompuy, President of the European Council, and President Jose Manuel Barroso, President of the European Commission; NATO Secretary General Anders Fogh Rasmussen; Delivered a speech at the Centre for Fine Arts (BOZAR).",President Barack Obama
66,27-Mar-2014,27-Mar-2014,  Vatican City,Vatican City,An audience with Pope Francis at the Apostolic Palace.[46],President Barack Obama
67,27-Mar-2014,27-Mar-2014, Italy,Rome,Met with President Giorgio Napolitano and Prime Minister Matteo Renzi; tour of the Colosseum.,President Barack Obama
68,28-Mar-2014,28-Mar-2014, Saudi Arabia,Riyadh,Met with King Abdullah.,President Barack Obama
69,23-April-2014,25-April-2014, Japan,Tokyo,Met with Emperor Akihito and Prime Minister Shinzō Abe.,President Barack Obama
70,25-April-2014,26-April-2014, South Korea,Seoul,Met with President Park Geun-hye. Visited with U.S. troops at Yongsan Garrison.,President Barack Obama
71,26-April-2014,28-April-2014, Malaysia,Kuala Lumpur,Met with Prime Minister Najib Razak. Delivered a speech at the University of Malaya.,President Barack Obama
72,28-April-2014,29-April-2014, Philippines,Manila,Met with President Benigno Aquino III. Visited with U.S. and Philippine troops at Fort Bonifacio and laid wreath at the Manila American Cemetery and Memorial.,President Barack Obama
73,25-May-2014,26-May-2014, Afghanistan,Bagram Air Base,Visited with U.S. troops at Bagram airfield.,President Barack Obama
74,3-Jun-2014,4-Jun-2014, Poland,Warsaw,Met with President Bronisław Komorowski and Prime Minister Donald Tusk. Also met with President-elect Petro Poroshenko of Ukraine. Marked the 25th anniversary of it nation’s emergence from communism.,President Barack Obama
75,4-Jun-2014,5-Jun-2014, Belgium,Brussels,Attended 40th G7 summit in Brussels.,President Barack Obama
76,5-Jun-2014,6-Jun-2014, France,Paris,To met with President François Hollande. Will attended 70th anniversary of D-Day celebrations.,President Barack Obama
77,16-Feb-2001,16-Feb-2001, Mexico,San Cristobal,Meeting with President Vicente Fox.,President George W. Bush
78,20-Apr-2001,22-Apr-2001, Canada,Quebec,Attended the 3rd Summit of the Americas.,President George W. Bush
79,12-Jun-2001,13-Jun-2001, Spain,Madrid,Met with King Juan Carlos I and Prime Minister José María Aznar.,President George W. Bush
80,13-Jun-2001,14-Jun-2001, Belgium,Brussels,Attended NATO Summit Meeting. Met with King Albert II and prime minister Guy Verhofstadt of Belgium,President George W. Bush
81,14-Jun-2001,15-Jun-2001, Sweden,Gothenburg,Attended U.S.-European Union Summit Meeting; met with King Carl XVI Gustaf and Prime Minister Göran Persson.,President George W. Bush
82,15-Jun-2001,16-Jun-2001, Poland,Warsaw,State visit. Met with President Aleksander Kwaśniewski.,President George W. Bush
83,16-Jun-2001,16-Jun-2001, Slovenia,Kranj,Met with Prime Minister Janez Drnovšek and Russian President Vladimir Putin.,President George W. Bush
84,18-Jul-2001,20-Jul-2001, United Kingdom,"London, Chequers, Halton, Brize Norton",Met with Prime Minister Tony Blair and Queen Elizabeth II.,President George W. Bush
85,20-Jul-2001,24-Jul-2001, Italy,"Genoa, Castel Gandolfo, Rome",27th G8 summit; Met with Pope John Paul II at Castel Gandolfo and with Prime Minister Silvio Berlusconi and President Carlo Azeglio Ciampi in Rome.,President George W. Bush
86,24-Jul-2001,24-Jul-2001, Kosovo,Camp Bondsteel,Addressed U.S. military personnel.,President George W. Bush
87,18-Oct-2001,21-Oct-2001, China,Shanghai,Attended the APEC Summit Meeting.,President George W. Bush
88,16-Feb-2002,19-Feb-2002, Japan,Tokyo,Met with Prime Minister Junichiro Koizumi and Emperor Akihito. Addressed the Diet.,President George W. Bush
89,19-Feb-2002,21-Feb-2002, South Korea,"Seoul, Dorasan, Osan","Met with President Kim Dae-jung, visited the Demilitarized Zone, addressed U.S. military personnel.",President George W. Bush
90,21-Feb-2002,22-Feb-2002, China,Beijing,Met with President Jiang Zemin and Premier Zhu Rongji.,President George W. Bush
91,21-Mar-2002,22-Mar-2002, Mexico,Monterrey,Attended the International Conference on Financing for Development and met with President Vicente Fox.,President George W. Bush
92,23-Mar-2002,24-Mar-2002, Peru,Lima,"Met with the Presidents of Peru, Colombia, and Bolivia, and with the Vice President of Ecuador.",President George W. Bush
93,24-Mar-2002,24-Mar-2002, El Salvador,San Salvador,Attended a summit meeting with Central American heads of state.,President George W. Bush
94,22-May-2002,23-May-2002, Germany,Berlin,Met with Chancellor Gerhard Schröder and addressed the Bundestag.,President George W. Bush
95,23-May-2002,26-May-2002, Russia,"Moscow, St. Petersburg",Summit meeting with President Vladimir Putin. Signed Strategic Offensive Reductions Treaty.,President George W. Bush
96,26-May-2002,27-May-2002, France,"Paris, St. Mere-Eglise, Colleville",Met with President Jacques Chirac and delivered a Memorial Day address in Normandy.,President George W. Bush
97,27-May-2002,28-May-2002, Italy,Rome,Met with President Carlo Azeglio Ciampi and Prime Minister Silvio Berlusconi. Attended NATO Summit Meeting and inaugurated the NATO-Russia Council.,President George W. Bush
98,28-May-2002,28-May-2002,  Vatican City,,Audience with Pope John Paul II.,President George W. Bush
99,25-Jun-2002,27-Jun-2002, Canada,Kananaskis,28th G8 summit,President George W. Bush
100,26-Oct-2002,27-Oct-2002, Mexico,Los Cabos,Attended APEC Summit Meeting.,President George W. Bush
101,19-Nov-2002,22-Nov-2002, Czech Republic,Prague,Attended NATO and EAPC Summit Meetings.,President George W. Bush
102,22-Nov-2002,22-Nov-2002, Russia,St. Petersburg,Met with President Vladimir Putin.,President George W. Bush
103,22-Nov-2002,23-Nov-2002, Lithuania,Vilnius,Met with the Presidents of the Baltic States.,President George W. Bush
104,23-Nov-2002,23-Nov-2002, Romania,Bucharest,Met with President Ion Iliescu.,President George W. Bush
105,16-Mar-2003,16-Mar-2003, Portugal,Terceira,"Discussed the Iraq crisis with British Prime Minister Tony Blair, Spanish Prime Minister José María Aznar, and Portuguese Prime Minister José Manuel Barroso.",President George W. Bush
106,7-Apr-2003,8-Apr-2003, United Kingdom,"Belfast, Hillsborough",Met with Prime Minister Blair to discuss the reconstruction of Iraq. Also met with Taoiseach Bertie Ahern and Northern Irish political leaders.,President George W. Bush
107,31-May-2003,31-May-2003, Poland,"Kraków, Oświęcim",Met with President Aleksander Kwaśniewski and Prime Minister Leszek Miller; visited former Nazi-German concentration camp Auschwitz-Birkenau in the town of Oświęcim.,President George W. Bush
108,31-May-2003,1-Jun-2003, Russia,St. Petersburg,Met with President Vladimir Putin and attended ceremonies commemorating the city's 300th anniversary.,President George W. Bush
109,1-Jun-2003,2-Jun-2003, France,Evian-les-Bains,29th G8 summit; met with Chinese President Hu Jintao.,President George W. Bush
110,2-Jun-2003,3-Jun-2003, Egypt,Sharm el-Sheikh,"Attended ""Red Sea Summit"" with the leaders of Bahrain, Egypt, Jordan, and Saudi Arabia, and with Palestinian Prime Minister Mahmoud Abbas.",President George W. Bush
111,4-Jun-2003,4-Jun-2003, Jordan,Aqaba,Attended meetings with Israeli Prime Minister Ariel Sharon and Palestinian Prime Minister Mahmoud Abbas. Met with King Abdullah II.,President George W. Bush
112,4-Jun-2003,5-Jun-2003, Qatar,Doha,"Met with Emir Hamad bin Khalifa Al Thani, visited U.S. Central Command headquarters and addressed U.S. military personnel. Overflew Baghdad en route to Qatar.",President George W. Bush
113,8-Jul-2003,8-Jul-2003, Senegal,"Dakar, Goree Island",Met with President Abdoulaye Wade.,President George W. Bush
114,8-Jul-2003,11-Jul-2003, South Africa,Pretoria,Met with President Thabo Mbeki.,President George W. Bush
115,10-Jul-2003,10-Jul-2003, Botswana,Gaborone,Met with President Festus Mogae. Toured Mokoldi Nature Reserve.,President George W. Bush
116,11-Jul-2003,11-Jul-2003, Uganda,Kampala,Met with President Yoweri Museveni.,President George W. Bush
117,11-Jul-2003,12-Jul-2003, Nigeria,Abuja,Met with President Olusegun Obasanjo.,President George W. Bush
118,17-Oct-2003,18-Oct-2003, Japan,Tokyo,Met with Prime Minister Junichiro Koizumi.,President George W. Bush
119,18-Oct-2003,19-Oct-2003, Philippines,Manila,Addressed a joint session of the Philippine Congress and met with President Gloria Macapagal-Arroyo.,President George W. Bush
120,18-Oct-2003,21-Oct-2003, Thailand,Bangkok,Attended the APEC Summit Meeting.,President George W. Bush
121,21-Oct-2003,22-Oct-2003, Singapore,,Met with Prime Minister Goh Chok Tong.,President George W. Bush
122,22-Oct-2003,22-Oct-2003, Indonesia,Denpasar,Met with President Megawati Sukarnoputri and Muslim religious leaders.,President George W. Bush
123,22-Oct-2003,22-Oct-2003, Australia,Canberra,Met with Prime Minister John Howard and addressed Parliament.,President George W. Bush
124,18-Nov-2003,21-Nov-2003, United Kingdom,"London, Sedgefield",State Visit; Met with Queen Elizabeth II and Prime Minister Tony Blair. Addressed Parliament.,President George W. Bush
125,27-Nov-2003,27-Nov-2003, Iraq,Baghdad,Met with members of the Coalition Provisional Authority and the Iraqi Governing Council and addressed U.S. military personnel.,President George W. Bush
126,12-Jan-2004,13-Jan-2004, Mexico,Monterrey,Attended the Monterrey Special Summit of the Americas.,President George W. Bush
127,4-Jun-2004,5-Jun-2004, Italy,Rome,Met with President Ciampi and Prime Minister Berlusconi.,President George W. Bush
128,4-Jun-2004,4-Jun-2004,  Vatican City,,Met with Pope John Paul II.,President George W. Bush
129,5-Jun-2004,6-Jun-2004, France,"Paris, Colleville, Caen, Arromanches",Met with President Chirac and commemorated the 60th anniversary of D-Day.,President George W. Bush
130,25-Jun-2004,26-Jun-2004, Ireland,"Shannon, Dromoland Castle",Attended U.S.-EU Summit meeting and met with Taoiseach Ahern.,President George W. Bush
131,26-Jun-2004,29-Jun-2004, Turkey,"Ankara, Istanbul",Met with President Ahmet Necdet Sezer and Prime Minister Recep Tayyip Erdoğan and attended NATO Summit meeting in Istanbul.,President George W. Bush
132,19-Nov-2004,22-Nov-2004, Chile,Santiago,Attended APEC Summit Meeting.,President George W. Bush
133,22-Nov-2004,22-Nov-2004, Colombia,Cartagena,Met with President Álvaro Uribe.,President George W. Bush
134,30-Nov-2004,1-Dec-2004, Canada,"Ottawa, Gatineau, Halifax",Met with Lieutenant Governor of Nova Scotia Myra Freeman and Prime Minister Paul Martin.,President George W. Bush
135,20-Feb-2005,23-Feb-2005, Belgium,Brussels,Attended NATO and EU Summit Meetings.,President George W. Bush
136,23-Feb-2005,23-Feb-2005, Germany,"Mainz, Wiesbaden",Met with Chancellor Gerhard Schröder and visited U.S. military personnel.,President George W. Bush
137,23-Feb-2005,24-Feb-2005, Slovakia,Bratislava,Met with Prime Minister Mikuláš Dzurinda and Russian President Putin.,President George W. Bush
138,6-Apr-2005,8-Apr-2005,  Vatican City,,Attended the funeral of Pope John Paul II.,President George W. Bush
139,6-Apr-2005,8-Apr-2005, Italy,Rome,Met with President Ciampi and Prime Minister Berlusconi.,President George W. Bush
140,6-May-2005,7-May-2005, Latvia,Riga,Met with the presidents of the Baltic States.,President George W. Bush
141,7-May-2005,8-May-2005, Netherlands,"Maastricht, Valkenburg, Margraten",Met with Prime Minister Jan Peter Balkenende and gave an address at a U.S. military cemetery.,President George W. Bush
142,8-May-2005,9-May-2005, Russia,Moscow,Met with President Putin and attended ceremonies commemorating VE Day.,President George W. Bush
143,9-May-2005,10-May-2005, Georgia,Tbilisi,Met with President Mikheil Saakashvili.,President George W. Bush
144,5-Jul-2005,6-Jul-2005, Denmark,"Kastrup, Fredensborg, Copenhagen",Met with Queen Margrethe II and Prime Minister Anders Fogh Rasmussen.,President George W. Bush
145,6-Jul-2005,8-Jul-2005, United Kingdom,Gleneagles,31st G8 summit,President George W. Bush
146,3-Nov-2005,5-Nov-2005, Argentina,Mar del Plata,Attended the 4th Summit of the Americas.,President George W. Bush
147,5-Nov-2005,6-Nov-2005, Brazil,Brasília,Met with President Luiz Inácio Lula da Silva.,President George W. Bush
148,6-Nov-2005,7-Nov-2005, Panama,Panama City,Met with President Martín Torrijos.,President George W. Bush
149,15-Nov-2005,16-Nov-2005, Japan,Kyoto,Met with Prime Minister Junichiro Koizumi.,President George W. Bush
150,16-Nov-2005,20-Nov-2005, South Korea,"Pusan, Gyeongju, Osan","Attended APEC Summit meeting, met with Russian President Putin and addressed U.S. military personnel.",President George W. Bush
151,20-Nov-2005,21-Nov-2005, China,Beijing,Met with President Hu Jintao and Premier Wen Jiabao.,President George W. Bush
152,21-Nov-2005,21-Nov-2005, Mongolia,Ulan Bator,Met with President Nambaryn Enkhbayar and Prime Minister Tsakhiagiin Elbegdorj.,President George W. Bush
153,28-Feb-2006,28-Feb-2006, Ireland,Shannon,Met with U.S. Marines who were en route to Iraq.,President George W. Bush
154,1-Mar-2006,1-Mar-2006, Afghanistan,"Bagram, Kabul","Met with President Hamid Karzai, dedicated new U.S. Embassy, and addressed U.S. military personnel.",President George W. Bush
155,1-Mar-2006,3-Mar-2006, India,"New Delhi, Hyderabad",Met with Prime Minister Manmohan Singh. Signed U.S.-India Civil Nuclear Agreement.,President George W. Bush
156,3-Mar-2006,4-Mar-2006, Pakistan,Islamabad,Met with President Pervez Musharraf.,President George W. Bush
157,30-Mar-2006,31-Mar-2006, Mexico,"Cancun, Chichen-Itza",President Fox and Canadian Prime Minister Stephen Harper North American Leaders' Summit,President George W. Bush
158,13-Jun-2006,13-Jun-2006, Iraq,Baghdad,Met with Prime Minister Nouri al-Maliki and addressed U.S. military personnel.,President George W. Bush
159,20-Jun-2006,21-Jun-2006, Austria,Vienna,Attended the U.S.-EU Summit.,President George W. Bush
160,21-Jun-2006,22-Jun-2006, Hungary,Budapest,"Met with President László Sólyom, Prime Minister Ferenc Gyurcsány and commemorated the 50th anniversary of the Hungarian Uprising.",President George W. Bush
161,12-Jul-2006,14-Jul-2006, Germany,"Stralsund, Trinwillershagen",Met with Chancellor Angela Merkel.,President George W. Bush
162,14-Jul-2006,17-Jul-2006, Russia,St. Petersburg,"32nd G8 summit; Met with President Hu of China, July 16; and President Lula of Brazil and Prime Minister Singh of India, July 17.",President George W. Bush
163,15-Nov-2006,15-Nov-2006, Russia,Moscow,Met with President Putin,President George W. Bush
164,16-Nov-2006,17-Nov-2006, Singapore,,Met with Acting President Pillay and Prime Minister Lee Hsien Loong. Addressed National University of Singapore.,President George W. Bush
165,17-Nov-2006,20-Nov-2006, Vietnam,"Hanoi, Ho Chi Minh City",Attended APEC Leaders' Meeting.,President George W. Bush
166,20-Nov-2006,20-Nov-2006, Indonesia,"Jakarta, Bogor",Met with President Susilo Bambang Yudhoyono.,President George W. Bush
167,27-Nov-2006,28-Nov-2006, Estonia,Tallinn,Met with President Toomas Hendrik Ilves.,President George W. Bush
168,28-Nov-2006,29-Nov-2006, Latvia,Riga,Attended NATO Summit Meeting.,President George W. Bush
169,29-Nov-2006,30-Nov-2006, Jordan,Amman,Met with King Abdullah II and Iraqi Prime Minister Nouri al-Maliki.,President George W. Bush
170,8-Mar-2007,9-Mar-2007, Brazil,São Paulo,Met with President Lula da Silva.,President George W. Bush
171,9-Mar-2007,11-Mar-2007, Uruguay,Montevideo,Met with President Tabaré Vázquez.,President George W. Bush
172,11-Mar-2007,11-Mar-2007, Colombia,Bogota,Met with President Álvaro Uribe.,President George W. Bush
173,11-Mar-2007,12-Mar-2007, Guatemala,"Guatemala City, Santa Cruz Balanyá, Iximche",Met with President Óscar Berger.,President George W. Bush
174,12-Mar-2007,14-Mar-2007, Mexico,"Mérida, Uxmal",Met with President Felipe Calderón. Visited Mayan ruins.,President George W. Bush
175,4-Jun-2007,5-Jun-2007, Czech Republic,Prague,Met with President Václav Klaus and Prime Minister Mirek Topolánek. Addressed Conference on Democracy and Security.,President George W. Bush
176,5-Jun-2007,8-Jun-2007, Germany,Heiligendamm,33rd G8 summit; Also met with Chinese President Hu Jintao.,President George W. Bush
177,8-Jun-2007,8-Jun-2007, Poland,"Gdansk, Jurata","Landed at Lech Walesa Airport in Gdansk, met with President Lech Kaczyński at the presidential resort in Jurata on the Baltic Coast.",President George W. Bush
178,8-Jun-2007,10-Jun-2007, Italy,Rome,Met with Prime Minister Romano Prodi and President Giorgio Napolitano.,President George W. Bush
179,9-Jun-2007,9-Jun-2007,  Vatican City,,Audience with Pope Benedict XVI.,President George W. Bush
